epoch,lr,trainloss,trainacc,testloss,testacc
192,0.000325,1.6090,53.12,0.8328,75.75
193,0.000320,1.6028,54.07,0.8468,77.38
194,0.000315,1.6083,52.80,0.8309,77.02
195,0.000309,1.5954,52.52,0.7943,76.97
196,0.000304,1.5370,55.76,0.8143,76.36
197,0.000299,1.5479,55.97,0.7808,77.59
198,0.000294,1.6043,54.13,0.7993,77.08
199,0.000289,1.5331,56.64,0.7893,76.97
200,0.000284,1.5511,55.84,0.7967,78.60
201,0.000279,1.5718,53.96,0.7878,77.89
202,0.000274,1.5853,54.32,0.7876,77.74
203,0.000269,1.5499,55.61,0.7627,78.55
204,0.000264,1.5719,54.15,0.7744,78.55
205,0.000259,1.5868,53.81,0.7793,79.01
206,0.000254,1.5308,56.58,0.7608,78.09
207,0.000249,1.5265,56.24,0.7433,78.45
208,0.000244,1.5794,55.23,0.7811,78.30
209,0.000240,1.5777,53.69,0.7834,78.04
210,0.000235,1.5684,54.36,0.7828,77.94
211,0.000230,1.5515,55.71,0.7789,78.25
212,0.000225,1.5704,54.64,0.7641,77.43
213,0.000221,1.5447,56.68,0.7628,79.01
214,0.000216,1.5278,56.56,0.7711,77.64
215,0.000211,1.4918,58.65,0.7655,77.69
216,0.000207,1.5269,57.15,0.7558,78.60
217,0.000202,1.5348,54.99,0.7522,79.62
218,0.000198,1.5436,56.24,0.7817,77.99
219,0.000193,1.5386,55.63,0.7502,79.01
220,0.000189,1.5639,55.44,0.7482,79.88
221,0.000185,1.5380,55.61,0.7554,78.81
222,0.000180,1.5174,57.21,0.7426,79.57
223,0.000176,1.5861,54.13,0.7429,79.62
224,0.000172,1.4854,58.71,0.7374,79.16
225,0.000168,1.5397,56.09,0.7183,80.49
226,0.000164,1.5038,57.95,0.7048,80.03
227,0.000159,1.4980,58.10,0.7135,79.83
228,0.000155,1.4908,56.81,0.7196,79.98
229,0.000151,1.4828,58.67,0.7028,81.20
230,0.000147,1.5231,55.61,0.7051,80.13
231,0.000143,1.5065,57.61,0.7045,80.74
232,0.000139,1.5307,56.56,0.7188,80.23
233,0.000136,1.4978,56.30,0.7217,79.72
234,0.000132,1.4845,58.48,0.7136,80.54
235,0.000128,1.5077,57.74,0.6955,80.85
236,0.000124,1.4990,58.08,0.7110,80.85
237,0.000121,1.4853,58.50,0.6998,81.00
238,0.000117,1.4789,58.59,0.7040,80.54
239,0.000113,1.5001,58.44,0.6880,80.59
240,0.000110,1.4972,58.39,0.6931,80.95
241,0.000107,1.4880,58.99,0.6921,80.85
242,0.000103,1.5388,55.37,0.6915,81.92
243,0.000100,1.4592,60.06,0.6804,81.25
244,0.000096,1.4839,59.13,0.6890,81.51
245,0.000093,1.4728,60.74,0.6901,80.85
246,0.000090,1.4388,60.46,0.6821,80.74
247,0.000087,1.5148,57.93,0.7076,80.95
248,0.000084,1.4927,59.35,0.6913,81.56
249,0.000081,1.4653,60.11,0.6904,81.46
250,0.000078,1.4982,58.08,0.6903,81.25
251,0.000075,1.4611,60.19,0.6906,81.36
252,0.000072,1.5148,56.66,0.7036,80.74
253,0.000069,1.5010,59.05,0.6983,81.41
254,0.000066,1.4852,59.49,0.6957,82.07
255,0.000063,1.4355,59.75,0.6817,81.36
256,0.000061,1.4308,60.78,0.6749,81.76
257,0.000058,1.4939,57.93,0.6832,81.51
258,0.000055,1.4811,57.99,0.6770,81.66
259,0.000053,1.4514,59.96,0.6840,81.56
260,0.000050,1.4868,57.61,0.6701,82.17
261,0.000048,1.4281,60.36,0.6581,82.02
262,0.000046,1.4900,58.56,0.6706,81.86
263,0.000043,1.4657,58.94,0.6657,81.92
264,0.000041,1.4600,59.83,0.6759,81.51
265,0.000039,1.4380,61.39,0.6664,81.15
266,0.000037,1.4563,60.21,0.6725,81.97
267,0.000035,1.4383,60.55,0.6652,81.46
268,0.000033,1.4855,59.81,0.6766,81.71
269,0.000031,1.4604,60.61,0.6695,81.66
270,0.000029,1.4840,59.45,0.6680,81.97
271,0.000027,1.4852,58.94,0.6678,82.22
272,0.000025,1.4530,61.31,0.6684,81.86
273,0.000024,1.4693,58.80,0.6677,81.81
274,0.000022,1.4798,60.06,0.6722,81.66
275,0.000021,1.4629,60.19,0.6705,81.76
276,0.000019,1.4228,61.67,0.6618,82.32
277,0.000018,1.4509,60.46,0.6650,82.02
278,0.000016,1.3928,62.03,0.6604,81.81
279,0.000015,1.4225,62.26,0.6599,81.92
280,0.000014,1.4632,59.35,0.6620,81.76
281,0.000012,1.4588,60.49,0.6668,81.92
282,0.000011,1.4443,60.23,0.6625,81.86
283,0.000010,1.4488,60.00,0.6621,82.17
284,0.000009,1.4415,60.13,0.6615,82.17
285,0.000008,1.4475,59.83,0.6622,82.32
286,0.000007,1.5015,58.71,0.6660,82.27
287,0.000006,1.4911,58.08,0.6661,82.22
288,0.000006,1.4135,62.72,0.6633,82.22
289,0.000005,1.4662,61.39,0.6633,82.12
290,0.000004,1.4535,60.89,0.6651,82.17
291,0.000004,1.4470,59.85,0.6636,82.12
292,0.000003,1.4224,61.22,0.6623,82.22
293,0.000003,1.4726,58.92,0.6628,82.12
294,0.000002,1.4813,59.58,0.6635,82.17
295,0.000002,1.4714,59.92,0.6639,82.12
296,0.000002,1.4685,60.30,0.6633,82.32
297,0.000001,1.5003,57.63,0.6644,82.12
298,0.000001,1.4700,60.08,0.6640,82.22
299,0.000001,1.4488,60.87,0.6637,82.17
300,0.000001,1.4735,59.16,0.6636,82.12
