W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0822 14:41:16.905000 1072805 torch/distributed/run.py:766] *****************************************
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home2/sian/.netrc.
wandb: Currently logged in as: sian-shinjo (sian-shinjo-iiit-hyderabad) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run agjb1au6
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home2/sian/summer-project/vision-transformer/wandb/run-20260822_144142-agjb1au6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run vit-baseline
wandb: ⭐️ View project at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer
wandb: 🚀 View run at https://wandb.ai/sian-shinjo-iiit-hyderabad/vision-transformer/runs/agjb1au6
Starting training from scratch...
epoch: 183/300	current LR: 0.000373	trainloss: 2.0011	trainacc: 29.86%	testacc: 35.25%
epoch: 184/300	current LR: 0.000368	trainloss: 1.9996	trainacc: 29.25%	testacc: 35.40%
epoch: 185/300	current LR: 0.000362	trainloss: 1.9838	trainacc: 29.82%	testacc: 34.39%
epoch: 186/300	current LR: 0.000357	trainloss: 1.9908	trainacc: 29.52%	testacc: 35.97%
epoch: 187/300	current LR: 0.000351	trainloss: 1.9701	trainacc: 30.24%	testacc: 36.22%
epoch: 188/300	current LR: 0.000346	trainloss: 1.9866	trainacc: 29.50%	testacc: 36.53%
epoch: 189/300	current LR: 0.000341	trainloss: 1.9691	trainacc: 31.05%	testacc: 35.25%
epoch: 190/300	current LR: 0.000336	trainloss: 1.9682	trainacc: 30.56%	testacc: 35.05%
epoch: 191/300	current LR: 0.000330	trainloss: 1.9672	trainacc: 30.69%	testacc: 35.81%
epoch: 192/300	current LR: 0.000325	trainloss: 1.9882	trainacc: 29.61%	testacc: 34.18%
epoch: 193/300	current LR: 0.000320	trainloss: 1.9854	trainacc: 29.86%	testacc: 37.09%
epoch: 194/300	current LR: 0.000315	trainloss: 1.9768	trainacc: 30.41%	testacc: 36.37%
epoch: 195/300	current LR: 0.000309	trainloss: 1.9806	trainacc: 29.06%	testacc: 37.19%
epoch: 196/300	current LR: 0.000304	trainloss: 1.9799	trainacc: 29.27%	testacc: 35.76%
epoch: 197/300	current LR: 0.000299	trainloss: 1.9639	trainacc: 30.90%	testacc: 35.71%
epoch: 198/300	current LR: 0.000294	trainloss: 1.9477	trainacc: 31.32%	testacc: 36.63%
epoch: 199/300	current LR: 0.000289	trainloss: 1.9478	trainacc: 30.92%	testacc: 36.07%
epoch: 200/300	current LR: 0.000284	trainloss: 1.9583	trainacc: 31.40%	testacc: 37.04%
epoch: 201/300	current LR: 0.000279	trainloss: 1.9255	trainacc: 32.00%	testacc: 37.24%
epoch: 202/300	current LR: 0.000274	trainloss: 1.9231	trainacc: 31.68%	testacc: 39.43%
