epoch,lr,trainloss,trainacc,testloss,testacc
248,0.000084,1.7937,37.68,1.5872,46.26
249,0.000081,1.7674,38.27,1.5798,46.00
250,0.000078,1.7926,38.14,1.5869,46.56
251,0.000075,1.7707,38.84,1.5772,46.41
252,0.000072,1.7915,37.89,1.5779,46.41
253,0.000069,1.7953,38.54,1.5734,46.66
254,0.000066,1.7950,38.18,1.5894,46.82
255,0.000063,1.7441,39.73,1.5708,45.80
256,0.000061,1.8021,37.36,1.5834,45.95
257,0.000058,1.7905,38.14,1.5730,46.66
258,0.000055,1.7832,38.44,1.5735,46.66
259,0.000053,1.7771,38.56,1.5601,47.99
260,0.000050,1.7540,38.78,1.5639,47.02
261,0.000048,1.7689,38.52,1.5588,47.12
262,0.000046,1.7628,39.75,1.5607,47.07
263,0.000043,1.7521,39.51,1.5531,47.73
264,0.000041,1.7635,39.87,1.5526,47.48
265,0.000039,1.7642,38.61,1.5591,47.53
266,0.000037,1.7501,39.28,1.5494,46.97
267,0.000035,1.7737,39.07,1.5545,47.94
268,0.000033,1.7423,40.51,1.5569,47.12
269,0.000031,1.7617,39.54,1.5518,47.63
270,0.000029,1.7816,37.91,1.5511,47.22
271,0.000027,1.7601,38.82,1.5452,48.14
272,0.000025,1.7506,39.45,1.5465,47.89
273,0.000024,1.7564,39.56,1.5446,48.70
274,0.000022,1.7517,39.77,1.5414,47.89
275,0.000021,1.7524,39.68,1.5410,48.14
276,0.000019,1.7446,39.32,1.5380,48.70
277,0.000018,1.7512,39.51,1.5370,48.70
278,0.000016,1.7367,40.72,1.5380,48.65
279,0.000015,1.7408,40.25,1.5387,48.65
280,0.000014,1.7603,38.42,1.5357,48.75
281,0.000012,1.7533,39.54,1.5354,48.24
282,0.000011,1.7452,40.93,1.5376,48.09
283,0.000010,1.7487,39.92,1.5378,48.50
284,0.000009,1.7494,39.51,1.5362,47.78
285,0.000008,1.7333,40.59,1.5365,48.24
286,0.000007,1.7548,39.05,1.5355,48.50
287,0.000006,1.7466,40.74,1.5347,48.04
288,0.000006,1.7246,40.23,1.5344,47.94
289,0.000005,1.7471,40.06,1.5343,48.09
290,0.000004,1.7568,39.45,1.5341,48.09
291,0.000004,1.7325,40.00,1.5364,47.78
292,0.000003,1.7252,40.80,1.5352,47.99
293,0.000003,1.7361,40.00,1.5352,47.89
294,0.000002,1.7492,38.82,1.5350,47.48
295,0.000002,1.7427,41.14,1.5353,47.89
296,0.000002,1.7592,39.45,1.5354,47.73
297,0.000001,1.7247,41.65,1.5352,47.99
298,0.000001,1.7298,41.06,1.5352,47.83
299,0.000001,1.7292,40.19,1.5352,47.78
300,0.000001,1.7629,38.67,1.5345,47.89
